recipe_name,prep_time,cook_time,total_time,servings,yield,ingredients,directions,rating,url,cuisine_path,nutrition,timing,img_src
Ground Cherry Pie II,15 mins,40 mins,55 mins,8,1 to 9 - inch pie,"2 ½ cups ground cherries, ½ cup packed brown sugar, 1 tablespoon all-purpose flour, 2 tablespoons water, 1 (9 inch) pie shell, 3 tablespoons all-purpose flour, 3 tablespoons white sugar, 2 tablespoons butter","Preheat oven to 425 degrees F (220 degrees C).
Wash ground cherries and place in unbaked pie shell. Mix brown sugar and 1 tablespoon flour and sprinkle over cherries. Sprinkle water over top. Mix together 3 tablespoons flour and 3 tablespoons sugar. Cut butter in until crumbly. Top cherry mixture with crumbs.
Bake in the preheated oven for 15 minutes, reduce temperature to 375 degrees F (190 degrees C) and continue to bake for 25 minutes.",4.4,https://www.allrecipes.com/recipe/12671/ground-cherry-pie-ii/,/Desserts/Pies/Fruit Pies/,"Total Fat 8g 11%, Saturated Fat 3g 13%, Cholesterol 8mg 3%, Sodium 127mg 6%, Total Carbohydrate 34g 12%, Dietary Fiber 0g 1%, Total Sugars 19g, Protein 2g, Vitamin C 5mg 24%, Calcium 20mg 2%, Iron 1mg 6%, Potassium 41mg 1%","Prep Time: 15 mins, Cook Time: 40 mins, Total Time: 55 mins, Servings: 8, Yield: 1 to 9 - inch pie",https://www.allrecipes.com/thmb/e5vwCeINEEJLxQ53-BmfbJ7Misg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2539531-92a0f1721c824cacb0cfb114bc47096a.jpg
Cherry Cheese Pie I,15 mins,,2 hrs 15 mins,8,1 9-inch pie,"1 (9 inch) prepared graham cracker crust, 1 (8 ounce) package cream cheese, softened, ½ cup white sugar, 2 cups frozen whipped topping, thawed, 1 (21 ounce) can cherry pie filling","In a medium mixing bowl, beat together softened cream cheese and sugar until light and fluffy. Fold in whipped topping and blend until mixture is smooth. Spread into graham cracker crust and spoon pie filling over top. Cover with plastic wrap and chill 2 hours before serving.",4.7,https://www.allrecipes.com/recipe/17584/cherry-cheese-pie-i/,/Desserts/Pies/No-Bake Pie Recipes/,"Total Fat 21g 27%, Saturated Fat 12g 58%, Cholesterol 31mg 10%, Sodium 251mg 11%, Total Carbohydrate 56g 20%, Dietary Fiber 1g 3%, Total Sugars 27g, Protein 4g, Vitamin C 3mg 14%, Calcium 37mg 3%, Iron 1mg 6%, Potassium 138mg 3%","Prep Time: 15 mins, Additional Time: 2 hrs, Total Time: 2 hrs 15 mins, Servings: 8, Yield: 1 9-inch pie",https://www.allrecipes.com/thmb/kR6MtuJJYCbAe3d4MAf9mkMS3ZU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6487070-d3824bef8ac7482eabd33e6f43da6157.jpg
Cherry Pie with Almond Crumb Topping,20 mins,1 hrs 15 mins,1 hrs 50 mins,8,1 9-inch pie,"1 1 (9 inch) unbaked pie crust (see footnote for recipe link), ½ cup slivered almonds, ½ cup light brown sugar, ⅓ cup rolled oats, ⅓ cup all-purpose flour, ¾ teaspoon salt, 6 tablespoons cold, unsalted butter, cut into pieces, 2 pounds cherries, pitted, ½ lemon, juiced, ⅓ cup white sugar, or more to taste, ¼ cup cornstarch","Preheat oven to 350 degrees F (175 degrees C). Line a baking sheet with aluminum foil.
Roll out pie crust and lay into a 9-inch pie pan.
Combine almonds, brown sugar, oats, flour, and salt in a large bowl. Work butter into the almond mixture with your fingers, breaking up any large pieces, until incorporated completely. Cover and chill for 15 minutes.
Combine cherries, lemon juice, white sugar, and cornstarch. Stir until well coated and no dry lumps remain, 3 to 4 minutes.
Pour cherries and any accumulated juices into the prepared pie pan. Press down into the pan. Crumble oat mixture over the top. Place the pan on the prepared baking sheet.
Bake in the preheated oven until cherries are bubbling and the crust and crumble topping are browned, about 1 hour 15 minutes. Let cool completely.











Unknown
",4.7,https://www.allrecipes.com/recipe/228047/cherry-pie-with-almond-crumb-topping/,/Desserts/Pies/Fruit Pies/Cherry Pie Recipes/,"Total Fat 167g 215%, Saturated Fat 63g 315%, Cholesterol 183mg 61%, Sodium 3214mg 140%, Total Carbohydrate 503g 183%, Dietary Fiber 39g 140%, Total Sugars 306g, Protein 43g, Vitamin C 105mg 526%, Calcium 457mg 35%, Iron 15mg 83%, Potassium 2879mg 61%","Prep Time: 20 mins, Cook Time: 1 hrs 15 mins, Additional Time: 15 mins, Total Time: 1 hrs 50 mins, Servings: 8, Yield: 1 9-inch pie",https://www.allrecipes.com/thmb/arcEgtKCdkWq_bYBWk60S6I64W8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/image-526-56c56b009fba4eed8b777b23c9776b61.jpg
Hawaiian Millionaire Pie,15 mins,,1 hrs 15 mins,8,1 9-inch pie,"1 (9 inch) pie crust, baked, 1 (15 ounce) can crushed pineapple, drained, ¼ cup lemon juice, 1 (12 ounce) container frozen whipped topping, thawed, ½ cup maraschino cherries, chopped, 1 (14 ounce) can sweetened condensed milk, 1 cup chopped walnuts","In a large mixing bowl, fold pineapple, lemon juice, whipped topping, cherries, condensed milk, and walnuts together. Pour into pie shell and chill for at least one hour before serving.",4.5,https://www.allrecipes.com/recipe/15568/hawaiian-millionaire-pie/,/Desserts/Pies/No-Bake Pie Recipes/,"Total Fat 30g 38%, Saturated Fat 14g 72%, Cholesterol 17mg 6%, Sodium 176mg 8%, Total Carbohydrate 60g 22%, Dietary Fiber 2g 6%, Total Sugars 45g, Protein 8g, Vitamin C 10mg 50%, Calcium 170mg 13%, Iron 1mg 6%, Potassium 364mg 8%","Prep Time: 15 mins, Additional Time: 1 hrs, Total Time: 1 hrs 15 mins, Servings: 8, Yield: 1 9-inch pie",https://www.allrecipes.com/thmb/5f2ORPEscH9_Q8t52esUwoUbxHQ=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/902086-c35df260c9434518a143c634888f41f2.jpg
Watermelon Pie,,,,8,1 to 9 - inch pie,"1 (3 ounce) package watermelon flavored Jell-O®, ¼ cup water, 1 (12 ounce) container frozen whipped topping, thawed, 2 cups watermelon, 1 (9 inch) prepared graham cracker crust","Mix together the watermelon gelatin and water. Fold gelatin mixture into the dessert topping. Add cut watermelon.
Pour mixture into graham cracker crust. Cool in refrigerator for about 3 hours.",4.3,https://www.allrecipes.com/recipe/12340/watermelon-pie/,/Desserts/Pies/No-Bake Pie Recipes/,"Total Fat 18g 23%, Saturated Fat 11g 54%, Sodium 206mg 9%, Total Carbohydrate 41g 15%, Dietary Fiber 1g 2%, Total Sugars 33g, Protein 3g, Vitamin C 3mg 16%, Calcium 12mg 1%, Iron 1mg 4%, Potassium 76mg 2%","Servings: 8, Yield: 1 to 9 - inch pie",https://www.allrecipes.com/thmb/y2jsrZ57UMl-1Cn9tqEQaPI9LtY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2432578-c388f4c7eb554f8ea56d8422485a4606.jpg
Cantaloupe Pie I,30 mins,1 hrs,1 hrs 30 mins,8,1 to 9 - inch pie,"1 cantaloupe, ½ cup white sugar, 8 tablespoons all-purpose flour, ¼ teaspoon salt, 3 egg yolks, 2 tablespoons water, 1 tablespoon butter, ¼ teaspoon butter flavored extract, 3 egg whites, ¼ teaspoon cream of tartar, 6 tablespoons white sugar, 1 (9 inch) pie crust, baked","Select a cantaloupe of good quality. Cut in half, remove seeds, and scoop pulp into a saucepan. Place pulp over medium heat until it comes to a gentle boil. Mash the cantaloupe as it heats. This should make about 2 cups of pulp.
Combine 1/2 cup sugar, flour, and salt. Add to heated cantaloupe and cook, stirring, until thick. The amount of flour seems large, but it takes considerable thickening to obtain correct consistency.
In a large bowl, beat egg yolks; add water to yolks. Add a little of the cantaloupe mixture to egg yolks in order to heat yolks gradually. Stir egg yolks mixture into cantaloupe mixture. Continue cooking, stirring, until thick and creamy. Remove from heat.
Add butter or margarine and flavoring to the cantaloupe mixture.
Pour into baked pie shell.
Beat egg whites and cream of tartar together until frothy. Continue beating, adding the 6 tablespoons sugar gradually; beat until thick peaks form. Top the pie with this meringue.
Bake at 400 degrees F (205 degrees C) until delicately brown on top.",4.3,https://www.allrecipes.com/recipe/12098/cantaloupe-pie-i/,/Desserts/Pies/Fruit Pies/,"Total Fat 9g 11%, Saturated Fat 3g 16%, Cholesterol 81mg 27%, Sodium 220mg 10%, Total Carbohydrate 42g 15%, Dietary Fiber 1g 3%, Total Sugars 28g, Protein 4g, Vitamin C 25mg 127%, Calcium 20mg 2%, Iron 1mg 6%, Potassium 254mg 5%","Prep Time: 30 mins, Cook Time: 1 hrs, Total Time: 1 hrs 30 mins, Servings: 8, Yield: 1 to 9 - inch pie",https://www.allrecipes.com/thmb/4ysFi94Gbh3TCwsiXTv-RFHNnvM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5605391-f3b5c45dbc854872b8832d27f0389ab7.jpg
Peach Pie the Old Fashioned Two Crust Way,30 mins,40 mins,1 hrs 25 mins,8,1 9-inch pie,"1 (14.1 ounce) package pastry for a double-crust 9-inch pie, 1 egg, beaten, 5 cups sliced peeled peaches, 2 tablespoons lemon juice, 1 cup white sugar, ½ cup all-purpose flour, ½ teaspoon ground cinnamon, ¼ teaspoon ground nutmeg, ¼ teaspoon salt, 2 tablespoons butter","Preheat the oven to 450 degrees F (220 degrees C).
Line the bottom and sides of a 9-inch pie plate with one pie crust. Lightly brush crust with egg to prevent dough from becoming soggy later. Set second crust aside.
Place peaches in a large bowl, sprinkle with lemon juice, and mix gently. Mix together sugar, flour, cinnamon, nutmeg, and salt in a separate bowl. Pour over peaches and mix until combined. Pour into pie crust and dot with butter.
Cover filling with remaining pie crust. Flute the edges to seal or use a fork dipped in egg to press them down. Brush remaining egg on top, then cut several slits in the top crust to allow steam to escape.
Bake pie in the preheated oven for 10 minutes. Reduce the heat to 350 degrees F (175 degrees C) and bake until crust is brown and juice begins to bubble through the vents, 30 to 35 more minutes. If the edges brown too fast, cover them with strips of aluminum foil about halfway through baking.
Cool pie for 15 minutes before slicing.









",4.6,https://www.allrecipes.com/recipe/87979/peach-pie-the-old-fashioned-two-crust-way/,/Desserts/Pies/Fruit Pies/Peach Pie Recipes/,"Total Fat 20g 25%, Saturated Fat 6g 31%, Cholesterol 31mg 10%, Sodium 358mg 16%, Total Carbohydrate 59g 21%, Dietary Fiber 2g 8%, Total Sugars 30g, Protein 5g, Vitamin C 36mg 180%, Calcium 22mg 2%, Iron 2mg 11%, Potassium 81mg 2%","Prep Time: 30 mins, Cook Time: 40 mins, Additional Time: 15 mins, Total Time: 1 hrs 25 mins, Servings: 8, Yield: 1 9-inch pie",https://www.allrecipes.com/thmb/FHauT6gG7q0hlc5jkrNrw2O5Slw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/264202-c7e7973902ab4ded9000aef18f945c4c.jpg
Peach Pie with Frozen Peaches,25 mins,1 hrs,2 hrs 10 mins,8,1 peach pie,"2 sheets refrigerated pie crust, 2 teaspoons all-purpose flour, or as needed, 2 pounds sliced frozen peaches, ½ cup white sugar, 1 teaspoon lemon juice, ½ teaspoon ground cinnamon, ⅛ teaspoon salt, 3 tablespoons cornstarch, 1 large egg, beaten, 1 tablespoon white sugar, 1 tablespoon coarse sparkling sugar","Allow pie crusts to sit at room temperature about 15 minutes if recommended by manufacturer.
Preheat the oven to 400 degrees F (200 degrees C).
Remove plastic packaging from pie crusts and gently unroll one piece on a floured work surface. Dust the dough with flour on both sides. Fit the dough inside a 9-inch pie pan, shaping and gently stretching it to the top edge of the pie pan.
Stir together frozen peach slices, sugar, cornstarch, lemon juice, cinnamon, and salt in a large bowl (see note.)
Pour peach mixture into the unbaked pie crust and gently level out the top of the peaches with the back of a spoon. Peach slices will still be frozen.
Gently unroll the second piece of dough on the floured work surface. Fit the second dough circle on top of the peaches, and allow an even amount to hang over the edge of the pan, all the way around.
Brush the top of the pie with beaten egg, discarding any excess egg. Fold the edges of the top crust under, using the edge of the pan for a guide. Press the top crust and the bottom crust together to form a crimped edge. Lightly cover the crimped edge of the pie with strips of aluminum foil or with pie crust shields, to prevent over-browning.
Cut several slits in the top crust with a sharp knife. Sprinkle sparkling sugar over the crust.
Place the pie on a baking sheet and bake in the preheated oven until the pie is browned and bubbly, about 1 hour.
Cool on a rack about 30 minutes and serve warm.",4.6,https://www.allrecipes.com/recipe/284448/peach-pie-with-frozen-peaches/,/Desserts/Pies/Fruit Pies/Peach Pie Recipes/,"Total Fat 17g 22%, Saturated Fat 4g 22%, Cholesterol 23mg 8%, Sodium 304mg 13%, Total Carbohydrate 47g 17%, Dietary Fiber 2g 7%, Total Sugars 19g, Protein 4g, Vitamin C 37mg 185%, Calcium 20mg 2%, Iron 2mg 9%, Potassium 71mg 2%","Prep Time: 25 mins, Cook Time: 1 hrs, Additional Time: 45 mins, Total Time: 2 hrs 10 mins, Servings: 8, Yield: 1 peach pie",https://www.allrecipes.com/thmb/ppRU3OoP3WKfdGoIIe7lJqyfLyA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/9209094-8f829f8d91584111a069e6f1e4d9fce3.jpg
Award Winning Peaches and Cream Pie,30 mins,40 mins,3 hrs 30 mins,8,1 to 10 - inch pie,"¾ cup all-purpose flour, ½ teaspoon salt, 1 teaspoon baking powder, 1 (3 ounce) package non-instant vanilla pudding mix, 3 tablespoons butter, softened, 1 egg, ½ cup milk, 1 (29 ounce) can sliced peaches, drained and syrup reserved, 1 (8 ounce) package cream cheese, softened, ½ cup white sugar, 1 tablespoon white sugar, 1 teaspoon ground cinnamon","Preheat oven to 350 degrees F (175 degrees C). Grease sides and bottom of a 10 inch deep-dish pie pan.
In a medium mixing bowl, mix together flour, salt, baking powder and pudding mix. Mix in butter, egg and milk. Beat for 2 minutes. Pour mixture into pie pan. Arrange the peach slices on top of the pudding mixture.
In a small mixing bowl, beat cream cheese until fluffy. Add 1/2 cup sugar and 3 tablespoons reserved peach syrup. Beat for 2 minutes. Spoon mixture over peaches to within 1 inch of pan edge. Mix together 1 tablespoon sugar and 1 teaspoon cinnamon, and sprinkle over top.
Bake in preheated oven for 30 to 35 minutes, until golden brown. Chill before serving.









",4.5,https://www.allrecipes.com/recipe/15142/award-winning-peaches-and-cream-pie/,/Desserts/Pies/Fruit Pies/Peach Pie Recipes/,"Total Fat 15g 19%, Saturated Fat 9g 47%, Cholesterol 67mg 22%, Sodium 422mg 18%, Total Carbohydrate 54g 20%, Dietary Fiber 1g 5%, Total Sugars 42g, Protein 6g, Vitamin C 1mg 5%, Calcium 84mg 6%, Iron 1mg 6%, Potassium 169mg 4%","Prep Time: 30 mins, Cook Time: 40 mins, Additional Time: 2 hrs 20 mins, Total Time: 3 hrs 30 mins, Servings: 8, Yield: 1 to 10 - inch pie",https://www.allrecipes.com/thmb/WENukrI_dVPBvq-ub0NaJa3MaFc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4120799-b6fd33463e1a49d4954e30bcf674f4d1.jpg
Peach Pie,1 hrs,45 mins,1 hrs 45 mins,8,1 to 9 - inch pie,"10 fresh peaches, pitted and sliced, ⅓ cup all-purpose flour, 1 cup white sugar, ¼ cup butter, 1 recipe pastry for a 9 inch double crust pie","Mix flour, sugar and butter into crumb stage.
Place one crust in the bottom of a 9 inch pie plate. Line the shell with some sliced peaches. Sprinkle some of the butter mixture on top of the peaches, then put more peaches on top of the the crumb mixture. Continue layering until both the peaches and crumbs are gone.
Top with lattice strips of pie crust.
Bake at 350 degrees F (175 degrees C) for 45 minutes, or until crust is golden. Allow pie to cool before slicing. Best when eaten fresh.









",4.4,https://www.allrecipes.com/recipe/12347/peach-pie/,/Desserts/Pies/Fruit Pies/Peach Pie Recipes/,"Total Fat 21g 27%, Saturated Fat 7g 37%, Cholesterol 15mg 5%, Sodium 280mg 12%, Total Carbohydrate 57g 21%, Dietary Fiber 2g 6%, Total Sugars 33g, Protein 3g, Vitamin C 52mg 262%, Calcium 22mg 2%, Iron 2mg 9%, Potassium 77mg 2%","Prep Time: 1 hrs, Cook Time: 45 mins, Total Time: 1 hrs 45 mins, Servings: 8, Yield: 1 to 9 - inch pie",https://www.allrecipes.com/thmb/5imunrESlYy2H-6xgWrSXNoSW5o=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7371215-10de1b0385f64c4abadb3c1bb8b4fb9d.jpg
Single Crust Peach Pie,30 mins,,1 hrs 20 mins,8,1 pie,"¾ cup white sugar, 2 tablespoons butter, softened, ⅓ cup all-purpose flour, ¼ teaspoon ground nutmeg, 6 fresh peaches - pitted, skinned, and sliced, 1 recipe pastry for a 9 inch single crust pie","Cream sugar and butter or margarine together. Add flour and nutmeg; mix until mealy. Spread 1/2 of mixture in pie crust. Arrange peaches on top of crumb mixture. Sprinkle remaining crumb mixture on top of peaches.
Bake at 450 degrees F (230 degrees C) for ten minutes. Reduce heat to 350 degrees F (175 degrees C). Continue baking for 40 minutes, or until brown.",4.4,https://www.allrecipes.com/recipe/12307/single-crust-peach-pie/,/Desserts/Pies/Fruit Pies/Peach Pie Recipes/,"Total Fat 10g 13%, Saturated Fat 4g 19%, Cholesterol 8mg 3%, Sodium 140mg 6%, Total Carbohydrate 38g 14%, Dietary Fiber 1g 4%, Total Sugars 23g, Protein 2g, Vitamin C 31mg 157%, Calcium 13mg 1%, Iron 1mg 5%, Potassium 46mg 1%","Prep Time: 30 mins, Additional Time: 50 mins, Total Time: 1 hrs 20 mins, Servings: 8, Yield: 1 pie",https://www.allrecipes.com/thmb/d6c_LJ5kZl4xad_51iRDXKhFaXw=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2387881-4273b847d7b94166a458ada5403139cd.jpg
Fresh Peach Pie I,,,,8,1 pie,"1 (9 inch) pie shell, baked, 1 cup white sugar, ½ cup water, 3 tablespoons cornstarch, 1 tablespoon butter, 2 cups fresh peaches, pitted and mashed, ¼ teaspoon ground nutmeg, 1 teaspoon vanilla extract, 4 cups fresh peaches - pitted, skinned, and sliced","Combine sugar, water, cornstarch, butter or margarine, mashed peaches, and nutmeg in a saucepan. Cook over medium heat until clear and thick. Stir in vanilla.
Fill pie shell with sliced fresh peaches, alternating with the glaze. Refrigerate.",4.5,https://www.allrecipes.com/recipe/12308/fresh-peach-pie-i/,/Desserts/Pies/Fruit Pies/Peach Pie Recipes/,"Total Fat 9g 12%, Saturated Fat 3g 15%, Cholesterol 4mg 1%, Sodium 136mg 6%, Total Carbohydrate 44g 16%, Dietary Fiber 0g 1%, Total Sugars 31g, Protein 2g, Vitamin C 41mg 206%, Calcium 15mg 1%, Iron 1mg 4%, Potassium 49mg 1%","Servings: 8, Yield: 1 pie",https://www.allrecipes.com/thmb/K4zHRQhHYdUV1Vi2nWtufvNAzTA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4533102-fresh-peach-pie-i-Karen-4x3-1-3a7890d118ab43e79f54414b8073e37a.jpg
Pear Sour Cream Pie,25 mins,45 mins,3 hrs 10 mins,6,1 to 9 - inch pie,"1 (9 inch) pie crust pastry, ½ cup white sugar, 1 cup sour cream, ¼ cup all-purpose flour, 1 egg, beaten, 1 teaspoon vanilla extract, ¼ teaspoon salt, 4 large pears - peeled, cored and sliced","Preheat an oven to 350 degrees F (175 degrees C). Roll out the pastry and transfer it to a 9-inch pie plate. Trim any extra dough and crimp the edge.
Combine 1/2 cup sugar, sour cream, 1/4 cup flour, egg, vanilla, and salt in a bowl until blended. Fold in the pears. Pour the mixture into the pie plate and bake the pie for 15 minutes.
While the pie is baking, prepare the topping: mix the 2/3 cup flour, 1/3 cup sugar, melted butter, and rolled oats together in a bowl.
Remove the pie from the oven and sprinkle with the crumble topping. Return the pie to the oven and bake until the filling is set and the crust is brown, about 20 minutes more. Allow to cool and set before serving.",4.6,https://www.allrecipes.com/recipe/176287/pear-sour-cream-pie/,/Desserts/Pies/Fruit Pies/Pear Pie Recipes/,"Total Fat 29g 38%, Saturated Fat 14g 70%, Cholesterol 73mg 24%, Sodium 355mg 15%, Total Carbohydrate 86g 31%, Dietary Fiber 7g 24%, Total Sugars 42g, Protein 8g, Vitamin C 6mg 31%, Calcium 75mg 6%, Iron 3mg 14%, Potassium 309mg 7%","Prep Time: 25 mins, Cook Time: 45 mins, Additional Time: 2 hrs, Total Time: 3 hrs 10 mins, Servings: 6, Yield: 1 to 9 - inch pie",https://www.allrecipes.com/thmb/630oLLt8S74uTRqQR3YAJXXnYFk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/3984976-a0542be6eeca47eaae39dab483236de1.jpg
Sour Cream Pear Pie,15 mins,55 mins,1 hrs 10 mins,8,1 9-inch pie,"¾ cup sugar, 1 tablespoon all-purpose flour, ¼ teaspoon ground cinnamon, 1 pinch salt, 1 egg, beaten, 1 cup sour cream, 2 (15 ounce) cans pears, drained and chopped, 1 (9 inch) graham cracker crust, ½ cup sugar, ⅔ cup butter, ⅔ cup all-purpose flour","Preheat the oven to 350 degrees F (175 degrees C).
In a medium bowl, stir together 3/4 cup sugar, 1 tablespoon flour, cinnamon and salt. Mix in the egg and sour cream until smooth. Add pears, and stir gently until coated. Pour the mixture into a graham cracker crust.
Bake for 25 minutes in the preheated oven. While the pie is baking, make the topping in a medium bowl. Stir together the sugar and flour. Cut in butter until the mixture resembles coarse crumbs. Sprinkle topping over the pie.
Bake for an additional 30 minutes. Cool completely before serving.









",4.5,https://www.allrecipes.com/recipe/54694/sour-cream-pear-pie/,/Desserts/Pies/Fruit Pies/Pear Pie Recipes/,"Total Fat 30g 38%, Saturated Fat 15g 76%, Cholesterol 77mg 26%, Sodium 327mg 14%, Total Carbohydrate 74g 27%, Dietary Fiber 3g 9%, Total Sugars 53g, Protein 5g, Vitamin C 2mg 10%, Calcium 60mg 5%, Iron 2mg 9%, Potassium 195mg 4%","Prep Time: 15 mins, Cook Time: 55 mins, Total Time: 1 hrs 10 mins, Servings: 8, Yield: 1 9-inch pie",https://www.allrecipes.com/thmb/PkltlR4goR6gwVyWpW5H67Wingc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7226866-a783ef8cf13a42acb1298e2b70558dd7.jpg
Pear and Chocolate Tart,,50 mins,1 hrs 10 mins,8,1 9-inch tart,"1 shortcrust pastry crust, 6 ½ ounces 70% dark chocolate, chopped, 1 ½ cups ground almonds, 2 eggs, ½ cup superfine sugar, 6 ½ tablespoons butter, softened, 3 pears - peeled, cored, and quartered","Preheat the oven to 375 degrees F (190 degrees C).
Roll pastry out to 1/4 inch thickness and use it to line a 9-inch tart dish. Prick the pastry with a fork and then place into the freezer for 20 minutes to prevent pastry from rising during baking.
Bake in the preheated oven for 10 minutes. Set crust aside. Reduce oven temperature to 325 degrees F (165 degrees C).
Heat a saucepan about 1/3-full of water to a low simmer, about 5 minutes, then reduce heat to lowest setting. Place a heat-proof bowl over the pan in such a way that it does not touch the water. Add chocolate to the bowl and allow to melt. Limit stirring to an absolute minimum to prevent chocolate from separating.
Mix ground almonds, eggs, sugar, and butter together in a bowl. Add warm melted chocolate and stir to combine. Pour chocolate mixture into the baked pastry crust.
Arrange pears on top of the tart by pressing them into the chocolate mixture.
Bake in the hot oven until pastry is golden and mixture is firm, 35 to 45 minutes.",4.0,https://www.allrecipes.com/recipe/273033/pear-and-chocolate-tart/,/Desserts/Pies/Tarts/Fruit Tart Recipes/,"Total Fat 37g 47%, Saturated Fat 10g 51%, Cholesterol 73mg 24%, Sodium 203mg 9%, Total Carbohydrate 53g 19%, Dietary Fiber 7g 26%, Total Sugars 32g, Protein 9g, Vitamin C 3mg 17%, Calcium 74mg 6%, Iron 2mg 11%, Potassium 291mg 6%","Cook Time: 50 mins, Additional Time: 20 mins, Total Time: 1 hrs 10 mins, Servings: 8, Yield: 1 9-inch tart",https://www.allrecipes.com/thmb/K2-GSyheBLnzdcOybHBpNA6mJqE=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/8457435-d1bba36c46ed4dfb9797b5c6ea457b8e.jpg
Pear Pie III,15 mins,1 hrs,1 hrs 15 mins,8,1 to 9 - inch pie,"1 (9 inch) unbaked pie crust, 2 pears - peeled, cored and cut in half, 1 cup white sugar, ¼ cup butter, ¼ cup all-purpose flour, 1 tablespoon vanilla extract, 2 eggs, beaten","Preheat the oven to 350 degrees F (175 degrees C).
Press the pie pastry into the bottom and up the sides of a 9 inch pie plate. Flute the edges. Place the pear halves cut side down in the pie crust with the small ends toward the center.
In a medium bowl, mix the butter and sugar together until smooth, then beat in the eggs one at a time until light and fluffy. Stir in flour and vanilla. Pour over the top of the pears.
Bake for 1 hour in the preheated oven, until pears are soft and custard is set in the center. Cool completely before slicing and serving.",4.5,https://www.allrecipes.com/recipe/91511/pear-pie-iii/,/Desserts/Pies/Fruit Pies/Pear Pie Recipes/,"Total Fat 15g 19%, Saturated Fat 6g 30%, Cholesterol 62mg 21%, Sodium 176mg 8%, Total Carbohydrate 47g 17%, Dietary Fiber 3g 9%, Total Sugars 31g, Protein 4g, Vitamin C 2mg 11%, Calcium 16mg 1%, Iron 1mg 6%, Potassium 102mg 2%","Prep Time: 15 mins, Cook Time: 1 hrs, Total Time: 1 hrs 15 mins, Servings: 8, Yield: 1 to 9 - inch pie",https://www.allrecipes.com/thmb/-c2XqtAA0z3fPJUzsVGe6y59DFU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/5791553-0dcee488a39a4a6792f360767bee837e.jpg
Rustic Autumn Fruit Tart,15 mins,30 mins,1 hrs 45 mins,8,1 8-inch tart,"½ cup butter, chilled, ½ cup cream cheese, 1 ½ cups all-purpose flour, 2 apples - peeled, cored, and thinly sliced, 1 pear - peeled, cored and sliced, ¼ cup orange juice, ⅓ cup brown sugar, ½ teaspoon ground cinnamon, ¼ teaspoon ground nutmeg, ¼ teaspoon ground cardamom, 1 ½ tablespoons cornstarch, ½ cup apricot jam, warmed","Cut the cold butter and cream cheese into the flour with a knife or pastry blender until the mixture resembles coarse crumbs. (This can also be done in a food processor: pulse the cold butter into the flour until the mixture resembles cornmeal; add the cream cheese and pulse until it's the size of small peas.) When you squeeze a handful of the mixture, it should form a ball. Shape the dough into a round disk, wrap it in plastic, and refrigerate for at least 1 hour.
Toss the sliced apples and pear with the orange juice. Whisk together the brown sugar, cinnamon, nutmeg, cardamom, and cornstarch. Toss the fruit with the sugar-spice mixture and set aside.
Preheat an oven to 375 degrees F (190 degrees C). Set out an 8-inch tart pan, or, if you'll be making a free-form tart (galette), lightly grease a baking sheet.
Roll the pastry out on a lightly floured work surface to form a 10-inch circle. Transfer the dough to the tart pan or baking sheet. Arrange the fruit decoratively in the tart pastry. If you're baking the tart on a baking sheet, leave a 2-inch rim of dough and fold it up over the edge of the fruit (the pastry folds will overlap).
Bake the tart in the preheated oven until the crust is browned and the filling is bubbly, about 30 minutes. Remove the tart from the oven and brush it with the apricot jam.",4.3,https://www.allrecipes.com/recipe/93779/rustic-autumn-fruit-tart/,/Desserts/Pies/Tarts/Fruit Tart Recipes/,"Total Fat 17g 22%, Saturated Fat 11g 53%, Cholesterol 47mg 16%, Sodium 137mg 6%, Total Carbohydrate 51g 18%, Dietary Fiber 2g 8%, Total Sugars 24g, Protein 4g, Vitamin C 8mg 41%, Calcium 37mg 3%, Iron 2mg 9%, Potassium 152mg 3%","Prep Time: 15 mins, Cook Time: 30 mins, Additional Time: 1 hrs, Total Time: 1 hrs 45 mins, Servings: 8, Yield: 1 8-inch tart",https://www.allrecipes.com/thmb/YobgWn4WpEi7WcirYVcfezX5ht8=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1443473-d4a2ae76ef574b10851b04b014823843.jpg
