recipe_name,prep_time,cook_time,total_time,servings,yield,ingredients,directions,rating,url,cuisine_path,nutrition,timing,img_src
124,Microwave Baked Apples,5 mins,5 mins,10 mins,2,,"2  apples, 2 tablespoons brown sugar, 1 teaspoon ground cinnamon, 1 teaspoon ground nutmeg, 2 teaspoons butter","Core apples, leaving the bottom intact.
Mix brown sugar, cinnamon, and nutmeg together in a bowl. Spoon half of the sugar mixture into each apple and put 1 teaspoon butter on each top. Place apples in a deep, microwave-safe casserole dish and cover.
Microwave until tender, 3 1/2 to 4 minutes. Let apples sit for 2 minutes before serving.",4.2,https://www.allrecipes.com/recipe/18389/microwave-baked-apples/,/Desserts/Fruit Desserts/Apple Dessert Recipes/,"Total Fat 5g 7%, Saturated Fat 3g 15%, Cholesterol 11mg 4%, Sodium 33mg 1%, Total Carbohydrate 38g 14%, Dietary Fiber 5g 18%, Total Sugars 32g, Protein 1g, Vitamin C 7mg 35%, Calcium 37mg 3%, Iron 1mg 3%, Potassium 183mg 4%","Prep Time: 5 mins, Cook Time: 5 mins, Total Time: 10 mins, Servings: 2",https://www.allrecipes.com/thmb/E47Pybnx85qaH0SwzBWxDfI-1bA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/204943-6414e6797a9649cf95f42f2a8d9bdf8f.jpg
130,Apple Oatmeal Crisp,20 mins,40 mins,1 hrs,8,1 8-inch pan,"1 cup brown sugar, 1 cup rolled oats, 1 cup all-purpose flour, ½ cup butter, melted, 3 cups apples - peeled, cored and chopped, ½ cup white sugar, 2 teaspoons ground cinnamon","Preheat the oven to 350 degrees F (175 degrees C). Lightly grease an 8-inch square pan.
Place brown sugar, oats, flour, and butter in a large bowl; mix until crumbly. Place 1/2 of the crumb mixture in the bottom of the prepared pan. Spread apples evenly over crumb mixture. Sprinkle with sugar and cinnamon; top with remaining crumb mixture.
Bake in the preheated oven until golden brown, 40 to 45 minutes.









",4.6,https://www.allrecipes.com/recipe/24127/apple-oatmeal-crisp/,/Desserts/Fruit Desserts/Apple Dessert Recipes/,"Total Fat 12g 16%, Saturated Fat 7g 37%, Cholesterol 31mg 10%, Sodium 91mg 4%, Total Carbohydrate 65g 24%, Dietary Fiber 3g 10%, Total Sugars 44g, Protein 3g, Vitamin C 2mg 11%, Calcium 43mg 3%, Iron 2mg 8%, Potassium 146mg 3%","Prep Time: 20 mins, Cook Time: 40 mins, Total Time: 1 hrs, Servings: 8, Yield: 1 8-inch pan",https://www.allrecipes.com/thmb/YxiEQAiG-Nv15_82F_OHX4DDU2k=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7891959-b79ce5eee76a47e9b321b5219d42c566.jpg
134,Gramma's Apple Bread Pudding,15 mins,45 mins,1 hrs,8,,"4 cups soft bread cubes, 2 cups peeled and sliced apples, ¼ cup raisins, 1 ¾ cups milk, 1 cup brown sugar, ¼ cup margarine, 2 large eggs, beaten, 1 teaspoon ground cinnamon, ½ teaspoon vanilla extract","Preheat the oven to 350 degrees F (175 degrees C). Grease a 7x11-inch baking dish.
Make pudding: Combine bread, apples, and raisins in a large bowl. Combine milk, brown sugar, and margarine in a small saucepan over medium heat. Cook and stir until margarine is melted. Pour over bread mixture in the bowl; mix until evenly coated. Pour bread mixture into the prepared baking dish.
Whisk together eggs, cinnamon, and vanilla in a small bowl. Pour egg mixture over bread mixture in the baking dish.
Bake in the preheated oven until the center is set and apples are tender, 40 to 50 minutes.
Meanwhile, make vanilla sauce: Mix together milk, margarine, white sugar, and brown sugar in a saucepan. Bring to a boil, remove from heat, and stir in vanilla. Serve over pudding.",4.6,https://www.allrecipes.com/recipe/27138/grammas-apple-bread-pudding/,/Desserts/Specialty Dessert Recipes/Bread Pudding Recipes/,"Total Fat 20g 26%, Saturated Fat 4g 22%, Cholesterol 52mg 17%, Sodium 372mg 16%, Total Carbohydrate 59g 21%, Dietary Fiber 1g 4%, Total Sugars 47g, Protein 6g, Vitamin C 1mg 7%, Calcium 154mg 12%, Iron 1mg 7%, Potassium 233mg 5%","Prep Time: 15 mins, Cook Time: 45 mins, Total Time: 1 hrs, Servings: 8",https://www.allrecipes.com/thmb/b9RRjwsejeowcITVIkd6kXoAWwc=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4552728-a78a9bd0b03c4c458e71fad6ebb591e6.jpg
136,Baked Apples,15 mins,15 mins,30 mins,4,,"4  tart green apples, ½ cup brown sugar, 4 tablespoons butter, 2 teaspoons ground cinnamon","Preheat the oven to 350 degrees F (175 degrees C). Remove core from the top of each apple, leaving a well.
Stuff each apple with 2 tablespoons brown sugar and 1 tablespoon butter. Place in a shallow baking dish and sprinkle with cinnamon.
Bake in the preheated oven until sugar begins to caramelize and apples are tender, 15 minutes.









",4.2,https://www.allrecipes.com/recipe/21127/baked-apples/,/Desserts/Fruit Desserts/Apple Dessert Recipes/,"Total Fat 12g 15%, Saturated Fat 7g 37%, Cholesterol 31mg 10%, Sodium 91mg 4%, Total Carbohydrate 45g 16%, Dietary Fiber 3g 11%, Total Sugars 41g, Protein 1g, Vitamin C 7mg 35%, Calcium 45mg 3%, Iron 1mg 3%, Potassium 197mg 4%","Prep Time: 15 mins, Cook Time: 15 mins, Total Time: 30 mins, Servings: 4",https://www.allrecipes.com/thmb/MF-32YHwVVE5iCtnY7oH35oGk5c=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7890331-ae7e15e0aa174d9d884b80b4690dfb1b.jpg
139,Old Fashioned Apple Pie,20 mins,50 mins,1 hrs 10 mins,8,1 9-inch pie,"2 (9 inch)  unbaked pie crusts, 7 cups peeled, cored and sliced apples, 1 cup white sugar, 2 tablespoons all-purpose flour, 1 teaspoon ground cinnamon, ¼ teaspoon salt, ⅛ teaspoon ground nutmeg, 2 tablespoons butter","Preheat the oven to 425 degrees F (220 degrees C). Line a 9-inch pie plate with bottom crust.
Combine apples, sugar, flour, cinnamon, salt, and nutmeg in a bowl. Place mixture into the prepared pie plate. Dot with butter. Cover with top crust and seal. Cut holes in top crust to allow venting.
Bake in the preheated oven for 10 minutes.
Reduce the oven temperature to 300 degrees F (150 degrees C) and bake until crust is golden brown and apples are tender, 40 for 50 minutes. Cool and serve.",4.6,https://www.allrecipes.com/recipe/12583/old-fashioned-apple-pie/,/Desserts/Pies/Apple Pie Recipes/,"Total Fat 17g 22%, Saturated Fat 4g 20%, Cholesterol 8mg 3%, Sodium 374mg 16%, Total Carbohydrate 61g 22%, Dietary Fiber 3g 11%, Total Sugars 35g, Protein 2g, Vitamin C 4mg 22%, Calcium 19mg 1%, Iron 0mg 2%, Potassium 155mg 3%","Prep Time: 20 mins, Cook Time: 50 mins, Total Time: 1 hrs 10 mins, Servings: 8, Yield: 1 9-inch pie",https://www.allrecipes.com/thmb/Th9xPmXzfdloYKj2AXqKs4BomwY=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/965259-ad5b763b2f6f4991a13cad61f4e24def.jpg
140,Quick Puff Pastry Apple Strudel,15 mins,25 mins,40 mins,8,,"4 medium apples - peeled, cored, and chopped, ¾ cup white sugar, ½ cup raisins, ½ cup chopped walnuts, 2 teaspoons ground cinnamon, 1 tablespoon all-purpose flour, ½ (17.5 ounce) package frozen puff pastry, thawed, 1 large egg, lightly beaten, 1 tablespoon white sugar, or to taste","Preheat the oven to 400 degrees F (200 degrees C).
Combine apples, 3/4 cup sugar, raisins, walnuts, and cinnamon in a large bowl for the filling.
Dust a flat work surface lightly with flour. Unroll puff pastry and sprinkle lightly with flour. Roll out slightly and mark into 3 equal sections. Spoon filling into the central section then fold over the section on the left and brush with egg. Fold the right section on top, just like a letter. Make shallow diagonal cuts in the top layer of the apple strudel. Brush with egg and sprinkle with 1 tablespoon sugar.
Bake in the preheated oven until apple strudel is puffed up and golden, 25 to 30 minutes.",4.4,https://www.allrecipes.com/recipe/261603/quick-puff-pastry-apple-strudel/,/Desserts/Fruit Desserts/Apple Dessert Recipes/,"Total Fat 17g 22%, Saturated Fat 4g 18%, Cholesterol 23mg 8%, Sodium 87mg 4%, Total Carbohydrate 54g 20%, Dietary Fiber 3g 12%, Total Sugars 34g, Protein 5g, Vitamin C 4mg 18%, Calcium 29mg 2%, Iron 2mg 8%, Potassium 214mg 5%","Prep Time: 15 mins, Cook Time: 25 mins, Total Time: 40 mins, Servings: 8",https://www.allrecipes.com/thmb/2CI6Zpxc3TnhKLhd652HM3vD8YI=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4589937-c255dc21063c4f39886f0de95bb3e232.jpg
141,Fried Apple Pies,15 mins,15 mins,1 hrs,8,,"2 cups all-purpose flour, 1 teaspoon salt, ½ cup shortening, chilled, ½ cup cold water","Make pastry: Sift flour and salt together in a large bowl. Cut in shortening with 2 knives or a pastry blender until mixture resembles coarse crumbs. Add cold water, 1 tablespoon at a time, tossing with a fork, until flour mixture is moistened. Do not add more water than you need: when you squeeze a handful of moistened pastry mixture, it should form a ball. Wrap in plastic wrap and refrigerate for 30 minutes.
Make filling: Place apples in a saucepan. Combine sugar and cinnamon; pour over apples and toss to coat. Cook, covered, in a saucepan on low heat until soft; mash with a fork to make thick applesauce. Set aside to cool.
Roll dough on a lightly floured surface to 1/8-inch thick; cut out eight 4-inch rounds with a large cookie cutter.
Place 1 heaping tablespoon of applesauce in the center of each pastry round. Moisten edges with cold water, fold in half, and press the edge with a fork to seal. Repeat with remaining pastry and filling.
Heat oil in a deep fryer or large saucepan to 375 degrees F (190 degrees C).
Lower pies carefully into the hot oil in batches. Fry until golden brown, about 2 to 3 minutes on each side. Transfer to a paper towel-lined plate to drain. Repeat with remaining pies.",4.5,https://www.allrecipes.com/recipe/12680/fried-apple-pies/,/Desserts/Pies/Vintage Pie Recipes/,"Total Fat 68g 87%, Saturated Fat 10g 52%, Sodium 292mg 13%, Total Carbohydrate 35g 13%, Dietary Fiber 2g 6%, Total Sugars 10g, Protein 3g, Vitamin C 2mg 8%, Calcium 8mg 1%, Iron 2mg 8%, Potassium 71mg 2%","Prep Time: 15 mins, Cook Time: 15 mins, Additional Time: 30 mins, Total Time: 1 hrs, Servings: 8",https://www.allrecipes.com/thmb/wmt9U7d_QzVlRp8XyqDg49YM7ek=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/7761858-fried-apple-pies-John-Bensley-4x3-1-324e7b7b616149458a045ca1f6e5ddb5.jpg
143,Grandma's Iron Skillet Apple Pie,15 mins,45 mins,1 hrs 15 mins,8,1 9-inch pie,"½ cup butter, 1 cup brown sugar, 5  Granny Smith apples -- peeled, cored, quartered, and thinly sliced, 3 (9 inch) refrigerated prerolled pie crusts, 1 cup white sugar, divided, 2 teaspoons ground cinnamon, divided, ¼ cup white sugar, 1 tablespoon butter, cut into small chunks","Preheat the oven to 350 degrees F (175 degrees C).
Place 1/2 cup butter into a 9-inch cast iron skillet; place the skillet in the preheated oven until butter is melted. Remove the skillet and sprinkle with brown sugar; return to the oven to heat while you prepare the apples.
Remove the skillet from the oven; arrange 1 refrigerated pie crust on top of brown sugar. Top pie crust with 1/2 of the sliced apples. Sprinkle 1/2 cup of white sugar and 1 teaspoon of cinnamon on top. Place second pie crust over apples; top second crust with remaining apples and sprinkle with 1/2 cup sugar and 1 teaspoon cinnamon. Top with third crust; sprinkle with 1/4 cup sugar and dot with 1 tablespoon of butter. Cut 4 slits into the top crust for steam to escape.
Bake in the preheated oven until the apples are tender and the crust is golden brown, about 45 minutes. Serve warm.









",4.9,https://www.allrecipes.com/recipe/213569/grandmas-iron-skillet-apple-pie/,/Desserts/Pies/Apple Pie Recipes/,"Total Fat 34g 43%, Saturated Fat 17g 86%, Cholesterol 49mg 16%, Sodium 396mg 17%, Total Carbohydrate 108g 39%, Dietary Fiber 2g 7%, Total Sugars 70g, Protein 3g, Vitamin C 4mg 22%, Calcium 37mg 3%, Iron 0mg 2%, Potassium 138mg 3%","Prep Time: 15 mins, Cook Time: 45 mins, Additional Time: 15 mins, Total Time: 1 hrs 15 mins, Servings: 8, Yield: 1 9-inch pie",https://www.allrecipes.com/thmb/vOa8FKl2mfm4RQgHLV-G3ovp7z0=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/4573341-542f23f8e42646af8b391b3babc73f3c.jpg
150,Classic Cherries Jubilee,10 mins,20 mins,30 mins,6,,"½ cup white sugar, 2 tablespoons cornstarch, ¼ cup cold water, ¼ cup orange juice, 1 pound Bing or other dark, sweet cherries, rinsed and pitted (or use frozen pitted cherries), ½ teaspoon finely grated orange zest, 3 cups vanilla bean ice cream, ¼ teaspoon cherry extract, ¼ cup brandy","Whisk sugar and cornstarch together in a wide saucepan. Stir in water and orange juice; bring to a boil over medium-high heat, whisking until thickened. Stir in cherries and orange zest; return to a boil, then reduce heat, and simmer for 10 minutes. While cherries are cooking, spoon ice cream into serving bowls.
Remove cherries from heat and stir in cherry extract. Pour in brandy and ignite with a long lighter. Gently shake the pan until blue flame has extinguished itself. Spoon cherries over ice cream.",4.7,https://www.allrecipes.com/recipe/74422/classic-cherries-jubilee/,/Desserts/Fruit Desserts/Cherry Dessert Recipes/,"Total Fat 8g 10%, Saturated Fat 5g 23%, Cholesterol 29mg 10%, Sodium 54mg 2%, Total Carbohydrate 48g 18%, Dietary Fiber 2g 8%, Total Sugars 42g, Protein 3g, Vitamin C 11mg 56%, Calcium 98mg 8%, Iron 0mg 2%, Potassium 323mg 7%","Prep Time: 10 mins, Cook Time: 20 mins, Total Time: 30 mins, Servings: 6",https://www.allrecipes.com/thmb/Zm7vM-30Ts_k-DUqdXdBj103GYU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/74422-classic-cherries-jubilee-ddmfs-4x3-1-feb1560d0011415c99e921a16ebe89f1.jpg
151,Fresh Cherry Cobbler,1 hrs,1 hrs,2 hrs,12,,"½ cup butter, 1 cup all-purpose flour, 1 ¾ cups white sugar, divided, 1 teaspoon baking powder, 1 cup milk, 2 cups pitted sour cherries, 1 tablespoon all-purpose flour","Preheat the oven to 350 degrees F (175 degrees C). Place butter in a 9x13-inch baking dish, and place in the oven to melt while the oven is preheating. Remove as soon as butter has melted, about 5 minutes.
Stir together 1 cup flour, 1 cup sugar, and baking powder in a medium bowl. Mix in milk until well blended, then pour the batter into the pan over the melted butter. Do not stir.
Rinse out the bowl from the batter, and dry. Place cherries into the bowl, and toss with remaining 3/4 cup sugar and 1 tablespoon flour. Distribute the cherry mixture evenly over the batter. Do not stir.
Bake in the preheated oven until golden brown, 50 to 60 minutes. A toothpick inserted into the cobber should come out clean.











Allrecipes Magazine
",4.3,https://www.allrecipes.com/recipe/72815/fresh-cherry-cobbler/,/Desserts/Fruit Desserts/Cherry Dessert Recipes/,"Total Fat 8g 11%, Saturated Fat 5g 26%, Cholesterol 22mg 7%, Sodium 94mg 4%, Total Carbohydrate 42g 15%, Dietary Fiber 1g 3%, Total Sugars 32g, Protein 2g, Vitamin C 3mg 13%, Calcium 49mg 4%, Iron 1mg 3%, Potassium 90mg 2%","Prep Time: 1 hrs, Cook Time: 1 hrs, Total Time: 2 hrs, Servings: 12",https://www.allrecipes.com/thmb/7Chv6g13eQlvJA6bf1zsv3nzniU=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/2466557-fresh-cherry-cobbler-Allrecipes-Magazine-1x1-1-9a2810e60cbb4673915d8da83eac897b.jpg
152,Cherry Pie Filling,25 mins,15 mins,40 mins,6,4 cups,"4 cups pitted tart red cherries, 1 cup white sugar, ¼ cup cornstarch","Place cherries into a saucepan over medium heat. Cover and cook, stirring often, until cherries release their juices and come to a simmer, 10 to 15 minutes.
Whisk sugar with cornstarch in a bowl until combined; pour mixture into hot cherries and juice. Stir until thoroughly combined.
Bring to a simmer over low heat; cook until thickened, about 2 minutes. Remove from heat and let cool before using as pie filling.",4.7,https://www.allrecipes.com/recipe/218432/cherry-pie-filling/,/Desserts/Fillings/Fruit Fillings/,"Total Fat 1g 1%, Saturated Fat 0g 1%, Sodium 1mg 0%, Total Carbohydrate 54g 20%, Dietary Fiber 2g 8%, Total Sugars 47g, Protein 1g, Vitamin C 7mg 34%, Calcium 15mg 1%, Iron 0mg 2%, Potassium 217mg 5%","Prep Time: 25 mins, Cook Time: 15 mins, Total Time: 40 mins, Servings: 6, Yield: 4 cups",https://www.allrecipes.com/thmb/rcSwg2yOr6XI2pR7mstQhIeZxnM=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1135011-cherry-pie-filling-MrsFisher0729-4x3-1-84b8ddf675fa405497e97c3ef5b91e6a.jpg
153,Best Boiled Fruitcake,15 mins,2 hrs 20 mins,2 hrs 40 mins,10,1 8-inch cake,"1 ½ cups white sugar, 12 ounces candied mixed fruit, 1 cup milk, ¾ cup butter, 5 ounces glace cherries, roughly chopped, 2 ounces candied mixed citrus peel, 2 ounces chopped walnuts, 1 teaspoon ground allspice, ½ teaspoon baking soda, 12 ounces sifted self-rising flour, 2 large eggs","Preheat the oven to 325 degrees F (160 degrees C). Line an 8-inch deep cake pan with parchment paper.
Place sugar, candied mixed fruit, milk, butter, cherries, citrus peel, walnuts, allspice, and baking soda in a medium-sized saucepan. Bring to a boil, reduce heat, and simmer for 5 minutes. Remove from heat and allow to cool slightly.
Stir flour and eggs into fruit mixture. Pour batter into the prepared pan. Wrap the outside of the pan with brown paper or newspaper.
Bake cake in the preheated oven for 40 minutes. Reduce temperature to 300 degrees F (150 degrees C) and continue baking cake for 1 1/2 hours.
Let cake sit at room temperature for 5 minutes, then invert it onto a wired rack. Remove parchment paper, flip cake, and allow to cool completely on the rack. Cake may be stored wrapped in foil and in an airtight container for up to 6 months.",4.8,https://www.allrecipes.com/recipe/7870/best-boiled-fruitcake/,/Desserts/Fruit Desserts/Cherry Dessert Recipes/,"Total Fat 19g 25%, Saturated Fat 10g 49%, Cholesterol 76mg 25%, Sodium 621mg 27%, Total Carbohydrate 99g 36%, Dietary Fiber 2g 5%, Total Sugars 38g, Protein 7g, Vitamin C 0mg 1%, Calcium 159mg 12%, Iron 2mg 13%, Potassium 130mg 3%","Prep Time: 15 mins, Cook Time: 2 hrs 20 mins, Additional Time: 5 mins, Total Time: 2 hrs 40 mins, Servings: 10, Yield: 1 8-inch cake",https://www.allrecipes.com/thmb/TnpiNhLlwmx4iK0gpSUanp_Yu0w=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/27222-c1a897f785ca4f15a398b9b9af43407a.jpg
155,Pineapple Upside-Down Bundt Cake,30 mins,35 mins,1 hrs 15 mins,12,1 10-inch bundt cake,"  cooking spray with flour, ½ cup melted butter, ½ cup packed brown sugar, 1 (8 ounce) can pineapple rings, 1 (4 ounce) jar maraschino cherries, 1 (15.25 ounce) package yellow cake mix, 1 (3.5 ounce) package instant vanilla pudding mix, ¼ cup whole milk, or more as needed, ⅓ cup vegetable oil, 3 large eggs","Preheat the oven to 350 degrees F (175 degrees C). Grease a 10-inch fluted tube pan (such as Bundt) with cooking spray with flour.
Pour melted butter into the bottom of the prepared pan. Sprinkle brown sugar evenly on top. Drain pineapple rings over a measuring cup; reserve juice. Cut rings in half. Alternate placing halved pineapple rings and maraschino cherries around the pan. Set aside.
Combine cake mix and pudding mix in a large mixing bowl. Pour enough milk into the reserved pineapple juice to make 1 cup of liquid; add to cake and pudding mixture. Pour in vegetable oil. Mix on low speed, adding 1 egg at a time, until blended. Increase speed to medium; mix until thoroughly combined and smooth, about 2 minutes. Pour batter over pineapples and cherries in the pan.
Bake in the preheated oven until a toothpick inserted into the center comes out clean, 35 to 40 minutes. Let cool for 10 minutes before removing from the pan.",4.9,https://www.allrecipes.com/recipe/272616/pineapple-upside-down-bundt-cake/,/Desserts/Fruit Desserts/Cherry Dessert Recipes/,"Total Fat 20g 26%, Saturated Fat 7g 34%, Cholesterol 63mg 21%, Sodium 477mg 21%, Total Carbohydrate 57g 21%, Dietary Fiber 1g 3%, Total Sugars 37g, Protein 4g, Vitamin C 2mg 10%, Calcium 82mg 6%, Iron 1mg 6%, Potassium 85mg 2%","Prep Time: 30 mins, Cook Time: 35 mins, Additional Time: 10 mins, Total Time: 1 hrs 15 mins, Servings: 12, Yield: 1 10-inch bundt cake",https://www.allrecipes.com/thmb/srekPtZAvSl0NfhyhARMaXbXALk=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/Pineapple-Upside-Down-Bundt-Cake-2000-ece59af0172b423182e18f5ce21a0b27.jpeg
156,Grandma's Skillet Pineapple Upside-Down Cake,15 mins,45 mins,1 hrs 10 mins,12,1 cake,"1 stick butter, 1 ½ cups packed brown sugar, 1 (20 ounce) can sliced pineapple, 1 (4 ounce) jar cherries, 1 ½ cups all-purpose flour, 2 ½ teaspoons baking powder, ½ teaspoon salt, 1 ½ cups white sugar, ½ cup butter, 2 large eggs, 1 cup milk, 2 teaspoons vanilla extract","Preheat the oven to 375 degrees F (190 degrees C).
Melt 1 stick butter in the bottom of a cast iron skillet over medium heat, about 3 minutes. Remove from heat and sprinkle brown sugar evenly over butter. Add pineapple slices to the skillet in a decorative layer with a cherry in the middle of each pineapple ring. Set aside.
Sift flour, baking powder, and salt together in a bowl.
Cream sugar and 1/2 cup butter together in a bowl. Add eggs and mix. Add flour mixture and milk in an alternating fashion. Add vanilla extract and mix well. Pour mixture evenly over pineapples in the skillet.
Bake in the preheated oven until cake is golden brown, about 40 minutes.
Let cake cool in the skillet for 10 minutes before inverting onto a serving plate. Serve warm.",4.7,https://www.allrecipes.com/recipe/273774/grandmas-skillet-pineapple-upside-down-cake/,/Desserts/Fruit Desserts/Pineapple Dessert Recipes/,"Total Fat 17g 21%, Saturated Fat 10g 52%, Cholesterol 73mg 24%, Sodium 340mg 15%, Total Carbohydrate 77g 28%, Dietary Fiber 1g 3%, Total Sugars 61g, Protein 4g, Vitamin C 5mg 24%, Calcium 116mg 9%, Iron 1mg 8%, Potassium 113mg 2%","Prep Time: 15 mins, Cook Time: 45 mins, Additional Time: 10 mins, Total Time: 1 hrs 10 mins, Servings: 12, Yield: 1 cake",https://www.allrecipes.com/thmb/SL_lvd8GfEzVQt2yZrHGvKpVqVg=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/6696344-456e7fb99601408eb60ff9f5a4b50624.jpg
157,Chocolate-Covered Cherries,1 hrs,,1 hrs 30 mins,60,60 pieces,"60  maraschino cherries with stems, 3 tablespoons butter, softened, 3 tablespoons corn syrup, 2 cups sifted confectioners' sugar, 1 pound chocolate confectioners' coating ","Drain cherries and set on paper towels to dry.
Stir together butter and corn syrup in a medium bowl until smooth. Mix in confectioners' sugar and knead to form a dough. Wrap each cherry in about 1 teaspoon dough. Chill in the refrigerator until firm.
Melt confectioners' coating in a heavy saucepan over low heat. Holding onto the stem, dip each cherry into coating and place on waxed paper-lined sheet trays. Chill in the refrigerator until coating is set. Store in an airtight container in a cool place.",4.7,https://www.allrecipes.com/recipe/24698/chocolate-covered-cherries/,/Desserts/Fruit Desserts/Cherry Dessert Recipes/,"Total Fat 4g 5%, Saturated Fat 2g 11%, Cholesterol 2mg 1%, Sodium 5mg 0%, Total Carbohydrate 11g 4%, Dietary Fiber 0g 1%, Total Sugars 5g, Protein 1g, Calcium 6mg 0%, Iron 0mg 2%, Potassium 55mg 1%","Prep Time: 1 hrs, Additional Time: 30 mins, Total Time: 1 hrs 30 mins, Servings: 60, Yield: 60 pieces",https://www.allrecipes.com/thmb/OgeEZYqRalWyX9HtcK69gefYCZA=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/24698-chocolate-covered-cherries-VAT-hero-4x3-1-8ba18f73b613487fb4fdaf97f9328e3c.jpg
158,Thirty Day Friendship Cake,1 hrs,1 hrs,19 days 19 hrs 2 mins,48,2 9x13-inch cakes,"  2 cups Friendship Fruit Starter, 1 (15 ounce) can sliced peaches with juice, 2 ½ cups white sugar, 1 (15 ounce) can pineapple chunks with juice, ½ cup white sugar, 2 (10 ounce) jars maraschino cherries, 2 ½ cups white sugar, 2 (18.25 ounce) packages yellow cake mix, 2 (3.4 ounce) packages instant vanilla pudding mix, 1 ⅓ cups vegetable oil, 8  eggs, 2 cups golden raisins, 2 cups chopped walnuts, 2 cups flaked coconut","Day One: In a large glass jar or bowl, combine 2 cups of the starter with 1 can of the sliced peaches and their juice (each slice chopped into 4 pieces). Add 2 1/2 cups of the white sugar and stir once every day for 10 days. When not stirring mixture, keep it covered with a paper towel, foil, or a loose lid. Let sit at room temperature. Don't refrigerate it or cover it airtight. A pan of water underneath the jar or bowl will keep the ants out.
Day Ten: Add 1 can of chunk pineapple and its juice. Cut each chunk of pineapple in half. Stir in 1/2 cup of white sugar. Stir once everyday for 10 days. The color should change, and the mixture should foam when stirred.
Day Twenty: Slice each cherry in half, and stir in. Add 2 1/2 cups of the white sugar. Stir once every day for the final 10 days. The cherries will give the juice back its pinkish color.
Day Thirty: Drain fruit and reserve it and the liquid. The fruit will be used in the cake. Pour the liquid into 3 glass or ceramic pint jars. One for you to start your next cake, and two for friends. Cake must be started within 3 days after receiving the starter, or you should freeze the starter to use at a later date. Do not use plastic or metal containers to store liquid!
Preheat oven to 325 degrees F (165 degrees C). Grease and flour two 9x13-inch baking pans.
It's best to mix the two cakes separately. Combine 1 box of the cake mix, 1 box of the instant vanilla pudding, 2/3 cup of the vegetable oil, and 4 of the eggs. Stir, then add 1/2 of the drained reserved fruit from the starter. Stir, then add 1 cup of the golden raisins, 1 cup of the chopped nuts and 1 cup of the coconut. Stir until all ingredients are combined. The batter will be stiff. Pour batter into the prepared cake pan. Repeat for cake number two.
Bake cakes at in the preheated oven for 55 to 65 minutes.",4.6,https://www.allrecipes.com/recipe/7900/thirty-day-friendship-cake/,/Desserts/Fruit Desserts/Cherry Dessert Recipes/,"Total Fat 14g 17%, Saturated Fat 3g 14%, Cholesterol 31mg 10%, Sodium 220mg 10%, Total Carbohydrate 56g 20%, Dietary Fiber 1g 5%, Total Sugars 39g, Protein 3g, Vitamin C 1mg 7%, Calcium 45mg 3%, Iron 1mg 4%, Potassium 121mg 3%","Prep Time: 1 hrs, Cook Time: 1 hrs, Additional Time: 19 days 17 hrs 2 mins, Total Time: 19 days 19 hrs 2 mins, Servings: 48, Yield: 2 9x13-inch cakes",https://www.allrecipes.com/thmb/yilbrwEezoW66RBh0JJAkM9anic=/1500x0/filters:no_upscale():max_bytes(150000):strip_icc()/1042293-f6bc5a40ee1d481b881bedae373e0458.jpg
